date,region,product_id,units_sold,revenue,cost,promotion_flag
2023-01-01,North,P1,23,409.33,253.53,0
2023-01-01,North,P2,44,465.56,313.43,0
2023-01-01,North,P3,40,688.8,473.69,0
2023-01-01,South,P1,47,556.2,311.94,0
2023-01-01,South,P2,31,433.96,221.03,1
2023-01-01,South,P3,31,451.38,296.57,0
2023-01-01,East,P1,41,762.58,485.04,0
2023-01-01,East,P2,38,740.58,513.31,1
2023-01-01,East,P3,31,499.1,332.72,0
2023-01-01,West,P1,30,377.63,238.86,0
2023-01-01,West,P2,26,268.14,179.24,0
2023-01-01,West,P3,22,416.86,258.28,1
2023-01-02,North,P1,31,607.96,406.67,0
2023-01-02,North,P2,47,859.51,491.08,0
2023-01-02,North,P3,42,489.41,246.24,0
2023-01-02,South,P1,14,167.82,84.1,1
2023-01-02,South,P2,40,642.38,440.2,0
2023-01-02,South,P3,50,931.55,581.9,0
2023-01-02,East,P1,42,699.69,432.59,0
2023-01-02,East,P2,16,235.55,123.41,0
2023-01-02,East,P3,15,188.41,95.73,0
2023-01-02,West,P1,49,502.46,262.07,0
2023-01-02,West,P2,39,661.25,349.05,0
2023-01-02,West,P3,29,509.11,277.85,0
2023-01-03,North,P1,50,812.18,454.11,0
2023-01-03,North,P2,49,883.8,474.88,1
2023-01-03,North,P3,26,352.64,240.28,0
2023-01-03,South,P1,44,627.93,416.69,1
2023-01-03,South,P2,26,386.06,246.49,0
2023-01-03,South,P3,37,718.88,405.91,0
2023-01-03,East,P1,25,313.48,172.22,0
2023-01-03,East,P2,21,273.18,152.16,0
2023-01-03,East,P3,36,371.9,211.62,0
2023-01-03,West,P1,51,583.9,349.11,1
2023-01-03,West,P2,48,594.07,383.55,0
2023-01-03,West,P3,43,852.87,494.47,1
2023-01-04,North,P1,33,391.55,198.97,0
2023-01-04,North,P2,51,622.32,399.67,1
2023-01-04,North,P3,34,574.92,331.93,1
2023-01-04,South,P1,22,368.65,238.53,0
2023-01-04,South,P2,44,516.98,360.04,0
2023-01-04,South,P3,40,496.74,257.62,1
2023-01-04,East,P1,23,294.14,188.27,1
2023-01-04,East,P2,40,754.83,495.15,0
2023-01-04,East,P3,34,466.58,321.02,1
2023-01-04,West,P1,46,533.97,325.59,0
2023-01-04,West,P2,35,412.59,236.53,0
2023-01-04,West,P3,20,331.52,203.44,0
2023-01-05,North,P1,32,508.76,353.98,0
2023-01-05,North,P2,31,505.65,333.21,0
2023-01-05,North,P3,52,639.7,383.71,0
2023-01-05,South,P1,38,396.57,277.17,0
2023-01-05,South,P2,32,324.95,222.8,0
2023-01-05,South,P3,44,691.81,481.54,0
2023-01-05,East,P1,54,711.14,379.68,0
2023-01-05,East,P2,40,678.41,416.55,0
2023-01-05,East,P3,40,696.31,445.22,0
2023-01-05,West,P1,36,559.02,312.66,0
2023-01-05,West,P2,40,719.32,453.17,0
2023-01-05,West,P3,55,577.92,391.44,0
2023-01-06,North,P1,22,227.91,135.18,0
2023-01-06,North,P2,45,827.52,556.16,0
2023-01-06,North,P3,27,304.31,183.94,0
2023-01-06,South,P1,37,727.14,430.07,1
2023-01-06,South,P2,48,546.41,287.71,1
2023-01-06,South,P3,26,343.97,226.69,0
2023-01-06,East,P1,44,521.11,268.98,0
2023-01-06,East,P2,36,507.22,271.19,0
2023-01-06,East,P3,20,236.57,162.51,0
2023-01-06,West,P1,48,834.19,509.58,0
2023-01-06,West,P2,43,498.22,261.08,0
2023-01-06,West,P3,45,470.7,239.18,1
2023-01-07,North,P1,44,592.37,351.24,0
2023-01-07,North,P2,49,791.77,496.45,0
2023-01-07,North,P3,30,556.95,351.84,0
2023-01-07,South,P1,56,1088.58,749.87,1
2023-01-07,South,P2,50,786.68,413.56,1
2023-01-07,South,P3,36,698.93,403.44,1
2023-01-07,East,P1,26,315.79,181.72,0
2023-01-07,East,P2,34,572.22,294.26,0
2023-01-07,East,P3,41,516.88,309.72,0
2023-01-07,West,P1,44,716.73,484.15,0
2023-01-07,West,P2,41,583.62,358.17,0
2023-01-07,West,P3,25,353.15,202.85,0
2023-01-08,North,P1,45,557.37,354.47,0
2023-01-08,North,P2,28,308.87,210.19,0
2023-01-08,North,P3,28,308.0,157.29,1
2023-01-08,South,P1,35,381.95,215.37,1
2023-01-08,South,P2,50,724.22,404.58,0
2023-01-08,South,P3,53,642.75,443.01,0
2023-01-08,East,P1,27,285.54,174.15,0
2023-01-08,East,P2,39,602.91,386.56,1
2023-01-08,East,P3,32,352.36,182.11,0
2023-01-08,West,P1,37,516.76,350.56,0
2023-01-08,West,P2,42,761.38,524.93,1
2023-01-08,West,P3,17,229.54,147.28,0
